获取时间,机号,机型,航空公司,航班号,ATA,航段,触发时间,描述,故障类型,飞行阶段,处理状态,类别-优先权,FlightlegId,ReportId
2026-01-12 17:26:32,B-656E,C909,成都航空,VJ108,,32,2026-01-12 17:07:37,[324 201 48]AUTOBRAKE DISARM[CAUTION],FDE,LN,产生,,5595566,57709174
2026-01-12 17:26:32,B-652G,C909,成都航空,VJ106,,32,2026-01-12 15:35:33,[324 201 48]AUTOBRAKE DISARM[CAUTION],FDE,LN,产生,,5595461,57705893
2026-01-12 17:26:32,B-652G,C909,成都航空,VJ106,,34,2026-01-12 15:23:27,TW:TAWS TERR FAULT,MMSG,In_Air,产生,,5595461,57705466
2026-01-12 17:26:32,B-652G,C909,成都航空,VJ106,,34,2026-01-12 15:23:26,[345 101 00]ADS-B OUT FAULT[CAUTION],FDE,DC,产生,,5595461,57705470
2026-01-12 17:26:32,B-656E,C909,成都航空,VJ108,,34,2026-01-12 15:00:16,ADC1:INTERNAL FAULT,MMSG,In_Air,产生,,5595566,57704673
2026-01-12 17:26:32,B-656E,C909,成都航空,VJ108,,49,2026-01-12 14:59:57,APU FADEC:APU LOW FUEL SUPPLY,MMSG,In_Air,产生,,5595566,57704646
2026-01-12 17:26:32,B-656E,C909,成都航空,VJ108,,22,2026-01-12 14:58:04,[222 131 00]YD DISC[CAUTION],FDE,SL,产生,,5595566,57704596
2026-01-12 17:26:32,B-656E,C909,成都航空,VJ119,,32,2026-01-12 14:21:18,[324 361 00]BRAKE WARM[CAUTION],FDE,IN,产生,,5595464,57703226
2026-01-12 17:26:32,B-652G,C909,成都航空,VJ106,,34,2026-01-12 13:33:25,ADC1:INTERNAL FAULT,MMSG,In_Air,产生,,5595461,57701399
2026-01-12 17:26:32,B-652G,C909,成都航空,VJ113,,30,2026-01-12 13:06:08,[303 161 41]L PROBE HEAT NOT ENGAGE[CAUTION],FDE,IN,产生,,5595383,57700355
2026-01-12 17:26:32,B-652G,C909,成都航空,EU113,,30,2026-01-12 13:06:08,[303 161 42]R PROBE HEAT NOT ENGAGE[CAUTION],FDE,IN,产生,,5595383,57700379
2026-01-12 17:26:32,B-656E,C909,成都航空,VJ118,,30,2026-01-12 12:47:16,[303 161 42]R PROBE HEAT NOT ENGAGE[CAUTION],FDE,IN,产生,,5595394,57699610
2026-01-12 17:26:32,B-656E,C909,成都航空,VJ118,,30,2026-01-12 12:47:16,[303 161 41]L PROBE HEAT NOT ENGAGE[CAUTION],FDE,IN,产生,,5595394,57699613
2026-01-12 17:26:32,B-656E,C909,成都航空,VJ107,,76,2026-01-12 11:29:58,[761 111 00]ENG NO TAKEOFF DATA[CAUTION],FDE,IN,产生,,5595076,57696625
2026-01-12 17:26:32,B-652G,C909,成都航空,VJ105,,76,2026-01-12 10:00:48,[761 111 00]ENG NO TAKEOFF DATA[CAUTION],FDE,IN,产生,,5594963,57693320
